filename, language, C++, comment, blank, total
g:\dev_libs\ademco_hb\include\ademco_detail.h, C++, 261, 103, 42, 406
g:\dev_libs\ademco_hb\include\ademco_event.h, C++, 477, 20, 69, 566
g:\dev_libs\ademco_hb\include\ademco_packet.h, C++, 830, 82, 149, 1061
Total, -, 1568, 205, 260, 2033
